# Unmatched product spellings (no master product >= score 0.9)
# Candidates for manual seeding into product_master.json.
# 2488 spellings.

***EBERFINE
***NEVLON MOISTURISING BABY	[COSMO]
***OXIDOX 130MG	[PHARMA]
**EKRAN SOFT SILI GEL 50SP
17 NEVSOFT CLEANSING	[PHARMA]
17 PKK014IMXIA-AT-SERUM
17 SPASTRET SYRUP	[COSMO]
17 TRUNEX MS GEL	[COSMO]
17128 COSMO Q CONDITIONER
17129 COSMO Q SKIN BRITHNING
18 4043 IMXIA 5 SERUM	[COSMO]
18 9677 ONITRAZ CAP 10 STRIP	[DERMA]
18 KLCL0001 KLCLAV 625	[PHARMA]
18 KOFCATCH AX SYP 1001M0L0ML	[PEDIA]
18 KOJITIN ULTRA GEL	[COSMO]
18 MELAPIK EVER NEW	[COSMO]
18 MELAPIK-HQ	[COSMO]
18 NEVLON ANTI-ITCH SOFT	[PHARMA]
18 NIOS0001 NIOSALIC LOTION (50 ML)	[COSMOCOR]
18 NIPS0001 NIPSAFE CREAM (30GM)	[PEDIA]
18 PKK016IMXIA-F-5% SERUM
18 STRIANIL GEL	[COSMO]
18 TYROLITE	[COSMO]
18 ZYCOZOL	[COSMO]
19 3823 NIOSALIC	[COSMOCOR]
19 9782 ONITRAZ FORTE	[DERMA]
19 IMXI0001 IMXIA AT 60ML BOTTLE 1BOTTLE	[COSMO]
19 KOFCATCH DX JUNIOR 1S0Y0RMUPL	[PEDIA]
19 MELAPIK PLUS	[COSMO]
19 NADITRET PLUS	[COSMO]
19 NEVSOFT	[PHARMA]
19 NORM0001 NORMYO	[PEDIA]
19 PKK017IMXIA-XL SERUM
19 SUDIF	[COSMO]
19 TODDRUB OINTMENT	[COSMO]
19 TRUNEX MS GEL	[COSMOCOR]
19 ZYDIP C	[COSMO]
2 11523 CANROLFIN CREAM	[DERMA]
2 5651 EPISERT CREAM	[COSMOCOR]
2 9535 DESOSOFT	[PEDIA]
2 BLEMGUARD-TX FACE SERUM	[COSMO]
2 CETA0033 CETALORE M SUS (60ML)	[PHARMA]
2 CETALORE M 60ML SYP60	[PEDIA]
2 CETALORE-10	[COSMO]
2 COSMOQ AC GEL	[COSMO Q]
2 DEKTOP	[COSMO]
2 DESOSOFT	[COSMO]
2 EBERFINE	[PHARMA]
2 EKRA0004 EKRAN 80 HYDRAGEL SUNASCREEN(50	[COSMO]
2 EKRAN	[COSMO]
2 EKRAN AQUA GEL	[COSMO]
2 EPISERT	[COSMOCOR]
2 EXTEND FORTE	[COSMO]
2 KENZ	[DERMACOR]
2 MFSONE	[DERMA]
2 PKK006EKRAN 80 HYDRA GEL
20 13357 IMXIA F	[COSMO]
20 3824 NIOSALIC-6	[COSMOCOR]
20 KOFCATCH LD	[PEDIA]
20 NIOGLOW FOAMING FACEWASH	[COSMO]
20 ONIT0001 ONITRAZ SB 130 (10 CAP)	[DERMA]
20 PKK018IMXIA-XL-SERUM
20 SACC0002 SACCTIK GG SACHETS	[PEDIA]
20 XEROLENE	[COSMO]
20 ZITLIN	[COSMOCOR]
20 ZYDIP C	[COSMO]
21 14580 SACCTIK PLUS	[PEDIA]
21 3943 NIOSOL F	[COSMOCOR]
21 IMXI0005 IMXIA PRO SERUM (60 ML)	[COSMO]
21 KOFCATCH LS JUNIOR E1X0P0 M10L0ML	[PEDIA]
21 NEVLON ANTI ITCH SOFT	[COSMO]
21 PKK034IMXIA-PRO SERUM
21 SEBOZIT GEL	[COSMO]
21 SORI0006 SORIBAN 100 (5 CAP)	[DERMA]
21 XEROLENE MAX	[COSMO]
21 ZYDIP C	[COSMOCOR]
22 3821 NIOSOL OINTMENT	[COSMOCOR]
22 IMXI0006 IMXIA SOFT HAIR MOIST (100 GM)	[COSMO]
22 KLM 0006 KLM FX M (10 TAB)	[PHARMA]
22 KOFCATCH LS PLUS 1001M00LML	[PEDIA]
22 NEVSOFT CLEANSING	[COSMO]
22 PKK028KLM-D360K-CAP
22 SORI0005 SORIBAN 50 SOFTGEL (5 CAP)	[DERMA]
22 ZYCOZOL	[COSMO]
22 ZYDIP	[COSMO]
23 10094 IMXIA XL SERUM	[COSMO]
23 10319 KLMC 1000 (20 TAB)	[PHARMA]
23 3836 SUDIF	[DERMA]
23 9891 SOFIDEW MASSAGE OIL	[PEDIA]
23 OFAC0001 OFACITIX OINT (15 GM)	[COSMOCOR]
23 OXIDOX	[COSMO]
23 PKK002KOJITIN ULTRA EMU GEL
23 ZYDIP-C	[COSMO]
24 11613 KLMITE	[PHARMA]
24 20101 OFACTIX TAB (10 TAB)	[COSMOCOR]
24 PKK001KOJITIN-EMULGEL
24 SOFI0007 SOFIDEW BABY POWDER	[PEDIA]
24 XEPI0001 XEPINOXIN CREAM (5 GM)	[DERMA]
25 15315 SOFIDEW CALOE LOTION	[PEDIA]
25 3841 RESOTEN-10CAP	[COSMOCOR]
25 9453 XEROLENE CREAM	[DERMA]
25 9900 KLMITE	[PHARMA]
25 KALS0001 KALSID TAB (15 TAB)	[COSMO]
25 NORMYO TAB 10 T	[PEDIA]
25 PKK030XYETER-TAB
26 3842 RESOTEN-20	[COSMOCOR]
26 KERA0014 KERAMATE EVA (8 TAB)	[COSMO]
26 MELA0015 MELAPIK CRE (25 GM)	[PHARMA]
26 PKK026ZYCOZOL-CREEM
26 SACCTIK GG ORAL DRO3P.S5ML	[PEDIA]
26 SOFI0004 SOFIDEW CREM (100GM)	[PEDIA]
26 XERO0001 XEROLENE MAX CRE (100 GM)	[DERMA]
27 5888 TRUNEX MS GEL	[COSMOCOR]
27 9382 SOFIDEW MOISTU	[PEDIA]
27 KERA0013 KERAMATE MAN (8 TAB)	[COSMO]
27 MELA0012 MELAPIK TX (10TAB)	[PHARMA]
27 PKK029KLFLAM-R-TAB
27 SACCTIK GG SACHETS 11G GMM	[PEDIA]
28 9710 TYROLITE	[COSMOCOR]
28 9902 MELAPIK-HQ	[PHARMA]
28 KLFL0002 KLFLAM R (10 CAP)	[COSMO]
28 PKK032KOXITUF-MR-TAB
28 SACCTIK PLUS SUSPEN5SI MONL	[PEDIA]
28 SOFI0009 SOFIDEW RESYL LOT (50 ML)	[PEDIA]
28 XIMP0001 XIMPLUS 200 (10 TAB)	[DERMA]
29 KLFL0001 KLFLAM SP (10 TAB)	[COSMO]
29 MUPI0001 MUPITRET CREAM	[PHARMA]
29 PKK031KOXITUF-TAB
29 SACCTIK SACHETS 0.840G.8M4	[PEDIA]
29 SOFI0005 SOFIDEW SHAMPOO (100 ML)	[PEDIA]
29 TYRO0001 TYROLITE CREAM (15 GM)	[COSMOCOR]
3 10305 DESOSOFT	[PEDIA]
3 14683 CETALORE	[PHARMA]
3 3866 EKRAN AQUA GEL	[COSMO]
3 5652 EPISERT CREAM	[COSMOCOR]
3 COSM0004 COSMOQ AC SUNCREEN GEL (60 GM)	[COSMO Q]
3 COSMO Q CONDITIONER	[COSMO]
3 COSMOQ CONDITIONER	[COSMO Q]
3 DESOSOFT	[PEDIA]
3 EBERFINE	[COSMO]
3 EBERFINE XL	[PHARMA]
3 EKRAN SOFT SILICON GEL	[COSMO]
3 EKRAN SOFT SILICONE SUNSC	[COSMO]
3 EXTEND HAIR GUMMY POUCH	[COSMO]
3 HBSA0001 HBSALIC OINT (20 GM)	[DERMA]
3 HBSALIC	[COSMO]
3 KENZ	[DERMACOR]
3 KLCEPO	[COSMOCOR]
3 KLCLAV ES SYRUP	[COSMO]
3 MELBOOST SOLUTION	[COSMO]
3 MFSUDIF	[DERMA]
3 NEVLON CALOE	[DERMA]
3 PKK007EKRAN AQUA-GEL
30 NADI0002 NADITRET CRM (10GM)	[PHARMA]
30 PKK035KALSID-TAB
30 SOFIBAR	[PEDIA]
30 ZYDI0001 ZYDIP C LOT (50 ML)	[COSMOCOR]
31 14966 SOFIDOXIM DS	[PEDIA]
31 3828 ZYDIP LOTION	[COSMOCOR]
31 NEVL0005 NEVLON ACNE	[PHARMA]
31 PKK036NERVILIFT-PSR-TAB
31 SOFIBAR	[PEDIA]
32 3827 ZYDIP LOTION	[COSMOCOR]
32 KOJI0009 KOJITIN EMUGEL (15 GM)	[COSMO]
32 NEVL0002 NEVLON ANTI-ITCH SOFT CREAM	[PHARMA]
32 PKK039KLFLAM-SP TABET
32 SOFI0002 SOFIKID 1*30 GUMMY POUCHES 30BOTTLE	[PEDIA]
32 SOFIDEW BABY CREAM1 0100 0GGMM	[PEDIA]
33 15279 KOJITIN GEL (15GM)	[COSMO]
33 3829 ZYDIP-C	[COSMOCOR]
33 9988 NEVSOFT CLEANSING	[PHARMA]
33 PKK020NERVILIFT-NT-TAB
33 SOFI0008 SOFIKID DROPS (30 ML)	[PEDIA]
33 SOFIDEW BABY CREAM5 05 0GGMM	[PEDIA]
34 3830 ZYDIP-C	[COSMOCOR]
34 9901 OXIDOX	[PHARMA]
34 KOJI0005 KOJITIN ULTRA GEL(20GM)	[COSMO]
34 PKK019IMXIA-YUTH SOLUTION
34 PKK038XYETER-250-TAB
34 SOFI0014 SOFIKID SYP (200 ML)	[PEDIA]
34 SOFIDEW BABY MASSA1G0E0 OMILL	[PEDIA]
35 KORT0001 KORTUF-6	[COSMO]
35 RAZU0001 RAZUUR DSR (10CAP)	[PHARMA]
35 SOFI0015 SOFIKID ZN DROP (15 ML)	[PEDIA]
35 SOFIDEW BABY POWDE1R00 1 G00MGM	[PEDIA]
36 9890 SOFIRASH CREAM	[PEDIA]
36 KOXI0002 KOXITUF	[COSMO]
36 SOFI0012 SOFIDOXIM 200 (10 TAB)	[PHARMA]
36 SOFIDEW BABY SHAMP1O00O	[PEDIA]
37 KOXI0001 KOXITUF-MR	[COSMO]
37 SOFIDEW CALOE LOTIO6N0	[PEDIA]
37 STRI0001 STRIANIL GEL CREAM	[PEDIA]
37 STUD0001 STUDART SOFTGEL (10 CAP)	[PHARMA]
38 10304 TODDRUB OINTMENT	[PEDIA]
38 20626 XALIDERM SOLU (50 ML)	[PHARMA]
38 NERV0008 NERVILIFT P SR (10 TAB)	[COSMO]
39 NERV0001 NERVILIFT-NT	[COSMO]
39 SOFIDEW LOTION 200M20L0	[PEDIA]
39 TRIP0007 TRIPTOFER (10 TAB)	[PEDIA]
4 9899 EBERFINE CREAM	[PHARMA]
4 COSMO Q MOISTURIZING	[COSMO Q]
4 COSMO Q UNDER EYE SERUM	[COSMO]
4 COSMOQ F/W GEL	[COSMO Q]
4 DESOSOFT	[PEDIA]
4 EBERFINE	[COSMO]
4 EBERFINE-M	[PHARMA]
4 ESSF0001 ESSFOL	[PEDIA]
4 EZAC0001 EZACNE SACHET (5 GM)	[COSMOCOR]
4 HBSO0001 HBSONE CRE (30 GM)	[DERMA]
4 HBSONE	[COSMO]
4 HISTABIL	[COSMO]
4 KENZ-SAL-LOTION	[DERMACOR]
4 MELBOOST	[COSMO]
4 NEVLON	[DERMA]
4 PKK008EKRAN MS GEL
40 XEPI0002 XEPIBACT CRE (5 GM)	[PEDIA]
40 XYET0002 XYETER 250 (10 TAB)	[COSMO]
41 SOFIDOXIM DS SYP 1003M0 GML	[PEDIA]
41 XYET0001 XYETER	[COSMO]
42 SOFIDOXIM DS SYP 50M30GML	[PEDIA]
42 ZYCO0001 ZYCOZOL CRE (30 GM)	[COSMO]
43 ZYCO0002 ZYCOZOL XL CRE (50 GM)	[COSMO]
44 SOFIKID 10 GUMMY PO1U0 CPHOEUSCHE	[PEDIA]
45 SOFIKID DROPS	[PEDIA]
46 SOFIKID GUMMY POUC3H0 EGSUMMY	[PEDIA]
47 SOFIKID SYP	[PEDIA]
49 SOFIKID ZN SYRUP	[PEDIA]
5 10098 EBERFINE CREAM	[PHARMA]
5 3837 MFSONE CREAM	[DERMA]
5 3870 EKRAN	[COSMO]
5 COSMOQ AC SUNSCREEN GEL	[COSMO]
5 COSMOQ M	[COSMO Q]
5 DESOSOFT	[PEDIA]
5 EBERFINE-M	[COSMO]
5 EKRAN-MS GEL	[COSMO]
5 KLCE0001 KLCEPO 200MG 1*10TAB	[COSMOCOR]
5 KLM KLIN AHA FACE WASH	[DERMACOR]
5 MELBOOST	[COSMOCOR]
5 MFSONE	[COSMO]
5 NEVLON	[DERMA]
5 NEVLON AD	[COSMO]
5 PKK003EKRAN SOFT SILICONE SUN GEL
5 SOFIDEW	[PEDIA]
50 SOFIRASH NAPPY RASH5 0CGRMEAM	[PEDIA]
51 SOFIRASH NAPPY RASH3 0C RGEMAM	[PEDIA]
52 SPASTRET	[PEDIA]
56 TRIPTOFER TAB 10 T	[PEDIA]
57 XEPIBACT CREAM 5GM5	[PEDIA]
58 Z KLCLAV DS	[PEDIA]
5T0OGDMDRUB OINT 12%	[PEDIA]
6 3868 MFSUDIF	[DERMA]
6 COSMOQ BRIGHTNING SERUM	[COSMO]
6 COSMOQ OC M GEL	[COSMO Q]
6 EBER0002 EBERFINE XL CREAM	[PHARMA]
6 EKRA0002 EKRAN MS GEL (50 GM)	[COSMO]
6 ESSFOL TAB 10 T	[PEDIA]
6 EXTEND TOTAL	[COSMO]
6 FENT0001 FENTISPOR	[PEDIA]
6 HERPIVAL-1000	[COSMO]
6 IMXIA	[COSMO]
6 KENZ	[COSMO]
6 KLM KLIN FACE WASH	[DERMACOR]
6 MELB0001 MELBOOST	[COSMOCOR]
6 MFSUDIF	[COSMO]
6 MUPISOFT	[PEDIA]
6 PKK005EKRAN-30-SILICON SUNCREEM
